"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304","Delete file","LMS service","Wed Nov 12 12:21:45 UTC 2025","passed","Wed Nov 12 12:21:46 UTC 2025","Delete entity","Files","",""
"","17","Get file","LMS service","Wed Nov 12 12:21:44 UTC 2025","passed","Wed Nov 12 12:21:44 UTC 2025","Get entity","Files","",""
"","19","Delete exercise","LMS service","Wed Nov 12 12:21:42 UTC 2025","passed","Wed Nov 12 12:21:42 UTC 2025","Delete entity","Exercises","",""
"","25","Create exercise","LMS service","Wed Nov 12 12:21:41 UTC 2025","passed","Wed Nov 12 12:21:41 UTC 2025","Create entity","Exercises","",""
"","536","Create user","LMS service","Wed Nov 12 12:21:46 UTC 2025","passed","Wed Nov 12 12:21:46 UTC 2025","Create entity","Users","",""
"","556","Login with correct email and password","LMS service","Wed Nov 12 12:21:38 UTC 2025","passed","Wed Nov 12 12:21:38 UTC 2025","Login","Authentication","",""
"","23","Get exercise","LMS service","Wed Nov 12 12:21:42 UTC 2025","passed","Wed Nov 12 12:21:42 UTC 2025","Get entity","Exercises","",""
"","28","Create course","LMS service","Wed Nov 12 12:21:39 UTC 2025","passed","Wed Nov 12 12:21:39 UTC 2025","Create entity","Courses","",""
"","270","Get file with incorrect file id","LMS service","Wed Nov 12 12:21:46 UTC 2025","passed","Wed Nov 12 12:21:46 UTC 2025","Validate entity","Files","",""
"","26","Create file","LMS service","Wed Nov 12 12:21:43 UTC 2025","passed","Wed Nov 12 12:21:43 UTC 2025","Create entity","Files","",""
"","289","Create user","LMS service","Wed Nov 12 12:21:46 UTC 2025","passed","Wed Nov 12 12:21:47 UTC 2025","Create entity","Users","",""
"","267","Create file with empty filename","LMS service","Wed Nov 12 12:21:44 UTC 2025","passed","Wed Nov 12 12:21:44 UTC 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Wed Nov 12 12:21:39 UTC 2025","passed","Wed Nov 12 12:21:39 UTC 2025","Get entities","Courses","",""
"","561","Create user","LMS service","Wed Nov 12 12:21:46 UTC 2025","passed","Wed Nov 12 12:21:47 UTC 2025","Create entity","Users","",""
"","27","Update exercise","LMS service","Wed Nov 12 12:21:41 UTC 2025","passed","Wed Nov 12 12:21:41 UTC 2025","Update entity","Exercises","",""
"","254","Create file with empty directory","LMS service","Wed Nov 12 12:21:45 UTC 2025","passed","Wed Nov 12 12:21:45 UTC 2025","Validate entity","Files","",""
"","20","Get exercises","LMS service","Wed Nov 12 12:21:43 UTC 2025","passed","Wed Nov 12 12:21:43 UTC 2025","Get entities","Exercises","",""
"","301","Update course","LMS service","Wed Nov 12 12:21:39 UTC 2025","passed","Wed Nov 12 12:21:39 UTC 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Wed Nov 12 12:21:47 UTC 2025","passed","Wed Nov 12 12:21:47 UTC 2025","Get entity","Users","",""
